"source","site_abbr","Treatment","trend_class","n_total","record_years","n_timepoints","window_years","n_windows","p_same_sign","p_opposite_sign","p_any","directional","window_bin"
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,8,8.00068446269678,17,0.352941176470588,0.0588235294117647,0.411764705882353,TRUE,8
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,9,9,16,0.3125,0.1875,0.5,TRUE,9
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,10,9.99931553730322,15,0.266666666666667,0.133333333333333,0.4,TRUE,10
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,11,11,14,0.214285714285714,0.142857142857143,0.357142857142857,TRUE,11
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,12,12.0006844626968,13,0.153846153846154,0.0769230769230769,0.230769230769231,TRUE,12
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,13,13,12,0.166666666666667,0.0833333333333333,0.25,TRUE,13
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,14,13.9993155373032,11,0.181818181818182,0.181818181818182,0.363636363636364,TRUE,14
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,15,15,10,0.2,0,0.2,TRUE,15
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,16,16.0006844626968,9,0.111111111111111,0,0.111111111111111,TRUE,16
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,17,17,8,0,0,0,TRUE,17
"CDR_Biomass_1998-2021_gm2_processed.csv","CDR","Camb Nenrich M","decreasing",24,24.0006844626968,18,17.9993155373032,7,0,0,0,TRUE,18
