"Date","Plot","Grazed","total_mass"
"20-07-1998",24,"pre",1063.16
"20-07-1998",25,"pre",288.738
"20-07-1998",26,"pre",1683.816
"20-07-1998",27,"pre",685.324
"20-07-1998",28,"pre",1401.446
"20-07-1998",29,"pre",814.53
"20-07-1998",30,"pre",860.2
"20-07-1998",31,"pre",958.55
"20-07-1998",32,"pre",1659
"20-07-1998",33,"pre",1187.27
"20-07-1998",34,"pre",1373.576
"20-07-1998",35,"pre",542.25
"20-07-1998",36,"pre",64.462
"20-07-1998",37,"pre",698.55
"20-07-1998",38,"pre",466.05
"20-07-1998",39,"pre",348.566
"20-07-1998",40,"pre",767.7
"20-07-1998",41,"pre",745.55
"20-07-1998",42,"pre",988
"20-07-1998",43,"pre",291.9
"20-07-1998",44,"pre",649.75
"20-07-1998",45,"pre",1220.236
"20-07-1998",46,"pre",1056.602
"20-07-1998",47,"pre",1539.75
"20-07-1998",48,"pre",771.75
"20-07-1998",49,"pre",534.496
"20-07-1998",51,"pre",296.35
"20-07-1998",52,"pre",1062.15
"20-07-1998",53,"pre",713.6
"20-07-1998",54,"pre",469.7
"20-07-1998",62,"pre",466.86
"20-07-1998",63,"pre",451.3
"20-07-1998",64,"pre",503.75
"20-07-1998",65,"pre",240.46
"20-07-1998",66,"pre",99.6
"20-07-1998",67,"pre",1720.1
"20-07-1998",69,"pre",1599.15
"20-07-1998",70,"pre",1605.806
"20-07-1998",75,"pre",1060.35
"20-07-1998",76,"pre",1099.636
"20-07-1998",77,"pre",345.5
"20-07-1998",78,"pre",1991.75
"20-07-2005",67,"g",254.4
"20-07-2005",115,"g",222.46
"20-07-2005",117,"g",468.5
"20-08-1996",72,"pre",652.5
"20-08-1996",73,"pre",257.7
"20-08-1996",74,"pre",299.9
"20-08-1996",75,"pre",423.2
"20-08-1996",76,"pre",631
"20-08-1996",77,"pre",376.3
"20-08-1996",78,"pre",391
"20-08-1996",79,"pre",81.2
"20-08-1996",80,"pre",751.4
"20-08-1996",81,"pre",117.9
"20-08-1996",82,"pre",1167
"20-08-1996",83,"pre",343.4
"20-08-1996",84,"pre",1311.3
"20-08-1996",85,"pre",382.8
"20-08-1996",86,"pre",655.9
"20-08-1996",87,"pre",851.3
"20-08-1996",88,"pre",736.4
"20-08-1996",89,"pre",548.8
"20-08-1996",90,"pre",124.9
"20-08-1996",91,"pre",615
"20-08-1996",92,"pre",165.6
"20-08-1996",93,"pre",472.3
"20-08-1996",94,"pre",521.6
"20-08-1996",95,"pre",673.7
"20-08-1996",96,"pre",536.8
"20-08-1996",97,"pre",708.1
"20-08-1996",98,"pre",817.6
"20-08-1996",99,"pre",813.3
"20-08-1996",100,"pre",267.4
"20-08-1996",101,"pre",344.6
"20-08-1996",102,"pre",309.3
"20-08-1996",103,"pre",2095.6
"20-08-1996",104,"pre",503.5
"20-08-1996",105,"pre",322.6
"20-08-1996",106,"pre",1473.5
"20-08-1996",107,"pre",1501.2
"20-08-1996",108,"pre",428.5
"20-08-1996",109,"pre",897.5
"20-08-1996",110,"pre",301.5
"20-08-1996",111,"pre",276.6
"20-08-1996",112,"pre",933.9
"20-08-1996",113,"pre",75.7
"20-08-1996",114,"pre",77.4
"20-08-1996",115,"pre",273.4
"20-08-1996",116,"pre",1039.6
"20-08-1996",117,"pre",659.7
"20-08-1996",118,"pre",519.6
"20-08-1996",119,"pre",315.6
"20-08-1996",120,"pre",337.2
"20-08-1996",121,"pre",470.9
"20-08-1996",122,"pre",330.8
"20-08-1996",123,"pre",760.6
"20-08-1996",124,"pre",682.9
"20-08-1996",125,"pre",378.2
"20-08-1996",126,"pre",840.7
"20-08-1996",127,"pre",879.9
"20-08-1996",128,"pre",488.4
"20-08-1996",129,"pre",682.1
"20-08-1996",130,"pre",278.7
"20-08-1996",131,"pre",917.8
"20-08-1996",132,"pre",353.6
"20-08-1996",133,"pre",270.4
"20-08-1996",134,"pre",224.6
"20-08-1996",135,"pre",562.7
"20-08-1996",136,"pre",387.4
"20-08-1996",137,"pre",904.5
"20-08-1996",138,"pre",870.4
"20-08-1996",139,"pre",453.9
"20-08-1996",140,"pre",669
"20-08-1996",141,"pre",676
"20-08-1996",142,"pre",1030.6
"20-08-1996",143,"pre",336.1
"20-08-1996",144,"pre",465.6
"20-08-1996",145,"pre",189.3
"20-08-1996",146,"pre",575.2
"20-08-1996",147,"pre",101
"20-08-2004",64,"ug",28.234
"20-08-2004",92,"ug",41.664
"20-08-2004",96,"ug",69.866
"20-08-2004",97,"ug",68.766
"20-08-2004",99,"ug",125.998
"20-08-2004",101,"ug",103.432
"20-08-2004",105,"ug",55.824
"20-08-2004",106,"ug",142.868
"20-08-2004",110,"ug",166.558
"20-08-2004",121,"ug",151.464
"20-08-2004",123,"ug",229.3
"20-08-2004",128,"ug",82.198
"20-08-2004",129,"ug",134.6
"20-08-2004",132,"ug",196.57
"20-08-2004",133,"ug",142.24
"20-08-2004",134,"ug",71.956
"20-10-2004",32,"g",154.2
"20-10-2004",44,"g",103.702
"20-10-2004",46,"g",152.366
"20-10-2004",58,"g",99.9
"20-10-2004",59,"g",161.766
"20-10-2004",65,"g",94
"20-10-2004",130,"g",129.198
"20-10-2004",131,"g",103.8
"21-07-1997",1,"pre",1083.9
"21-07-1997",2,"pre",1156.7
"21-07-1997",3,"pre",326.25
"21-07-1997",4,"pre",524.31
"21-07-1997",5,"pre",1163
"21-07-1997",6,"pre",218.4
"21-07-1997",7,"pre",687.69
"21-07-1997",8,"pre",1044.3
"21-07-1997",9,"pre",760.3
"21-07-1997",10,"pre",201.35
"21-07-1997",11,"pre",151.4
"21-07-1997",12,"pre",294.01
"21-07-1997",13,"pre",380.51
"21-07-1997",14,"pre",1502.41
"21-07-1997",15,"pre",796.4
"21-07-1997",16,"pre",882.63
"21-07-1997",17,"pre",865.7
"21-07-1997",19,"pre",860.2
"21-07-1997",20,"pre",67.8
"21-07-1997",21,"pre",169.7
"21-07-1997",22,"pre",250.93
"21-07-1997",23,"pre",288.52
"21-07-1997",24,"pre",1147.51
"21-07-1997",25,"pre",724.4
"21-07-1997",26,"pre",647.7
"21-07-1997",27,"pre",589.24
"21-07-1997",28,"pre",967.3
"21-07-1997",30,"pre",890.01
"21-07-1997",31,"pre",590.7
"21-07-1997",32,"pre",1149.9
"21-07-1997",33,"pre",231.04
"21-07-1997",35,"pre",132.55
"21-07-1997",36,"pre",150.56
"21-07-1997",38,"pre",443.65
"21-07-1997",39,"pre",422.41
"21-07-1997",43,"pre",43.5
"21-07-1997",44,"pre",599.61
"21-07-1997",45,"pre",512.2
"21-07-1997",46,"pre",953.6
"21-07-1997",48,"pre",774.9
"21-07-1997",49,"pre",290.8
"21-07-1997",50,"pre",198.1
"21-07-1997",51,"pre",668.44
"21-07-1997",52,"pre",746
"21-07-1997",53,"pre",569.8
"21-07-1997",54,"pre",515.2
"21-07-1997",55,"pre",332.03
"21-07-1997",56,"pre",699
"21-07-1998",50,"pre",609.2
"21-07-1998",55,"pre",869.77
"21-07-1998",56,"pre",899.85
"21-07-1998",57,"pre",974.3
"21-07-1998",58,"pre",791.45
"21-07-1998",59,"pre",382.35
"21-07-1998",60,"pre",852.6
"21-07-1998",61,"pre",1012.366
"21-07-1998",68,"pre",2678.9
"21-07-1998",71,"pre",341.35
"21-07-1998",72,"pre",1069.1
"21-07-1998",73,"pre",966.65
"21-07-1998",74,"pre",1258.6
"21-07-1998",79,"pre",961.4
"21-07-1998",80,"pre",2687.1
"21-07-1998",83,"pre",570.846
"21-07-1998",84,"pre",1489.5
"21-07-1998",85,"pre",786.45
"21-07-1998",86,"pre",1119.706
"21-07-1998",87,"pre",2134.592
"21-07-1998",88,"pre",2197.95
"21-07-1998",89,"pre",1421.75
"21-07-1998",90,"pre",209.25
"21-07-1998",91,"pre",1415.85
"21-07-1998",92,"pre",230.87
"21-07-1998",93,"pre",1062.286
"21-07-1998",94,"pre",1320.996
"21-07-1998",95,"pre",2047.696
"21-07-1998",97,"pre",294.716
"21-07-1998",98,"pre",1193.612
"21-07-1998",119,"pre",442.7
"21-07-1998",134,"pre",884.2
"21-07-1999",1,"pre",1479.3
"21-07-1999",2,"pre",641.95
"21-07-1999",3,"pre",387.5
"21-07-1999",4,"pre",294.85
"21-07-1999",5,"pre",1686.9
"21-07-1999",6,"pre",588.6
"21-07-1999",7,"pre",919.2
"21-07-1999",8,"pre",635.5
"21-07-1999",9,"pre",1034.15
"21-07-1999",10,"pre",602.2
"21-07-1999",11,"pre",584.95
"21-07-1999",12,"pre",120.4
"21-07-1999",13,"pre",814.85
"21-07-1999",14,"pre",1365.1
"21-07-1999",15,"pre",825.05
"21-07-1999",16,"pre",1582.85
"21-07-1999",17,"pre",2330.1
"21-07-1999",18,"pre",986.7
"21-07-1999",19,"pre",1475.5
"21-07-1999",20,"pre",60.25
"21-07-1999",21,"pre",252.95
"21-07-1999",22,"pre",164.25
"21-07-1999",23,"pre",314
"21-07-1999",24,"pre",342.85
"21-07-1999",25,"pre",307.65
"21-07-1999",26,"pre",1497.25
"21-07-1999",27,"pre",472.3
"21-07-1999",28,"pre",1234.3
"21-07-1999",29,"pre",1024.35
"21-07-1999",30,"pre",965.85
"21-07-1999",31,"pre",715.7
"21-07-1999",32,"pre",1738.65
"21-07-1999",33,"pre",1099.7
"21-07-1999",34,"pre",1092.75
"21-07-1999",35,"pre",270.8
"21-07-1999",36,"pre",169.5
"21-07-1999",37,"pre",739.45
"21-07-1999",38,"pre",656.95
"21-07-1999",39,"pre",525.6
"21-07-1999",40,"pre",1116.3
"21-07-1999",41,"pre",815.6
"21-07-1999",42,"pre",725.3
"21-07-1999",43,"pre",403.2
"21-07-1999",44,"pre",637.65
"21-07-1999",45,"pre",812.45
"21-07-1999",46,"pre",1359.6
"21-07-1999",47,"pre",833.5
"21-07-1999",48,"pre",561.75
"21-07-1999",49,"pre",745.05
"21-07-1999",50,"pre",830.45
"21-07-1999",51,"pre",830.45
"21-07-1999",52,"pre",1232.5
"21-07-1999",53,"pre",488.75
"21-07-1999",54,"pre",382.95
"21-07-1999",55,"pre",1410.1
"21-07-1999",56,"pre",306.25
"21-07-1999",57,"pre",1194.75
"21-07-1999",58,"pre",422.05
"21-07-1999",59,"pre",406.25
"21-07-1999",60,"pre",998.65
"21-07-1999",61,"pre",837.25
"21-07-1999",62,"pre",851.85
"21-07-1999",63,"pre",510.15
"21-07-1999",64,"pre",628.3
"21-07-1999",65,"pre",568.75
"21-07-1999",66,"pre",110.85
"21-07-1999",67,"pre",665.75
"21-07-2005",1,"ug",503.7
"21-07-2005",3,"ug",71.9
"21-07-2005",14,"ug",279
"21-07-2005",17,"ug",466
"21-07-2005",22,"ug",460.5
"21-07-2005",27,"ug",176.9
"21-07-2005",28,"ug",380.52
"21-07-2005",30,"ug",395.6
"21-07-2005",39,"ug",254.9
"21-07-2005",43,"ug",144.7
"21-07-2005",44,"ug",196.8
"21-07-2005",45,"ug",524.3
"21-07-2005",46,"ug",522
"21-07-2005",47,"ug",198.2
"21-07-2005",48,"ug",217
"21-07-2005",49,"ug",303.7
