Year,Season,Site,Stand,Treatment,Mass_gm2
2021,Fall,BEF,C9,N,278.6
2021,Fall,BEF,C9,NP,290.358
2021,Fall,BEF,C9,P,252.28
2021,Fall,HB,HBM,C,264.94
2021,Fall,HB,HBM,N,286.38
2021,Fall,HB,HBM,NP,280.204
2021,Fall,HB,HBM,P,267.912
2021,Fall,HB,HBO,C,265.8733333
2021,Fall,HB,HBO,N,291.37
2021,Fall,HB,HBO,NP,294.116
2021,Fall,HB,HBO,P,243.24
2021,Fall,JB,JBM,C,255.7725
2021,Fall,JB,JBM,N,227.98
2021,Fall,JB,JBM,NP,243.042
2021,Fall,JB,JBM,P,228.078
2021,Fall,JB,JBO,C,226.2275
2021,Fall,JB,JBO,N,300.64
2021,Fall,JB,JBO,NP,307.564
2021,Fall,JB,JBO,P,313.966
