"Field name ( Ignore this for this experiment)"	"Experiment number"	"Plot number"	"Sub plot number"	"Treatment number"	"Species and percent seed of total planted"	"Soil totaln N (mg/kg)(1989 samples)"	"Year"	"Species Name"	"Maximum species height (cm)"	"Median species height (cm)"	"Species Above ground biomass(g/m2)"	"Species proportion of total biomass"	"Date"	"Biomass"	"Prop"
E	55	1	17	11	PV70AS30	1071.7	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	17	11	PV70AS30	1071.7	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	17	11	PV70AS30	1071.7	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	18	3	AS100	1435.6001	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	18	3	AS100	1435.6001	1989	MISCELLANEOUS LITTER	 	 	9.82	 	 	 	 
E	55	1	18	3	AS100	1435.6001	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	18	3	AS100	1435.6001	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	18	3	AS100	1435.6001	1989	AGROPYRON SMITHII (AS)	 	 	78.400002	1	 	 	 
E	55	1	18	3	AS100	1435.6001	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	18	3	AS100	1435.6001	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	18	3	AS100	1435.6001	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	18	3	AS100	1435.6001	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	19	6	BD100	1322.1	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	19	6	BD100	1322.1	1989	MISCELLANEOUS LITTER	 	 	0	 	 	 	 
E	55	1	19	6	BD100	1322.1	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	19	6	BD100	1322.1	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	19	6	BD100	1322.1	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	19	6	BD100	1322.1	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	19	6	BD100	1322.1	1989	BUCHLOE DACTYLOIDES (BD)	 	 	83.599998	1	 	 	 
E	55	1	19	6	BD100	1322.1	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	19	6	BD100	1322.1	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	20	1	PV100	801.6	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	20	1	PV100	801.6	1989	MISCELLANEOUS LITTER	 	 	1.84	 	 	 	 
E	55	1	20	1	PV100	801.6	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	20	1	PV100	801.6	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	20	1	PV100	801.6	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	20	1	PV100	801.6	1989	PANICUM VIRGATUM (PV)	 	 	76.799995	1	 	 	 
E	55	1	20	1	PV100	801.6	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	20	1	PV100	801.6	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	20	1	PV100	801.6	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	21	8	PV30SS70	1220.4	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	21	8	PV30SS70	1220.4	1989	MISCELLANEOUS LITTER	 	 	6.06	 	 	 	 
E	55	1	21	8	PV30SS70	1220.4	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	21	8	PV30SS70	1220.4	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	26.76	0.33635	 	 	 
E	55	1	21	8	PV30SS70	1220.4	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	21	8	PV30SS70	1220.4	1989	PANICUM VIRGATUM (PV)	 	 	52.800003	0.66365	 	 	 
E	55	1	21	8	PV30SS70	1220.4	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	21	8	PV30SS70	1220.4	1989	BOUTELOUA GRACILIS (BG)	 	 	0	0	 	 	 
E	55	1	21	8	PV30SS70	1220.4	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	22	21	AG30BG70	926.4999	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	22	21	AG30BG70	926.4999	1989	MISCELLANEOUS LITTER	 	 	3.74	 	 	 	 
E	55	1	22	21	AG30BG70	926.4999	1989	ANDROPOGON GERARDI(AG)	 	 	31.68	0.849785	 	 	 
E	55	1	22	21	AG30BG70	926.4999	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	22	21	AG30BG70	926.4999	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	1	22	21	AG30BG70	926.4999	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	22	21	AG30BG70	926.4999	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	22	21	AG30BG70	926.4999	1989	BOUTELOUA GRACILIS (BG)	 	 	5.6	0.150215	 	 	 
E	55	1	22	21	AG30BG70	926.4999	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	1	23	19	AS70BG30	1061.5	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	1	23	19	AS70BG30	1061.5	1989	MISCELLANEOUS LITTER	 	 	11.04	 	 	 	 
E	55	1	23	19	AS70BG30	1061.5	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	1	23	19	AS70BG30	1061.5	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	1	23	19	AS70BG30	1061.5	1989	AGROPYRON SMITHII (AS)	 	 	61.999996	0.893114	 	 	 
E	55	1	23	19	AS70BG30	1061.5	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	1	23	19	AS70BG30	1061.5	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	1	23	19	AS70BG30	1061.5	1989	BOUTELOUA GRACILIS (BG)	 	 	7.42	0.106886	 	 	 
E	55	1	23	19	AS70BG30	1061.5	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	2	1	4	BG100	1992.7999	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	2	1	4	BG100	1992.7999	1989	MISCELLANEOUS LITTER	 	 	2.8	 	 	 	 
E	55	2	1	4	BG100	1992.7999	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	2	1	4	BG100	1992.7999	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	2	1	4	BG100	1992.7999	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	2	1	4	BG100	1992.7999	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	2	1	4	BG100	1992.7999	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	2	1	4	BG100	1992.7999	1989	BOUTELOUA GRACILIS (BG)	 	 	29.639999	1	 	 	 
E	55	2	1	4	BG100	1992.7999	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	2	2	21	AG30BG70	2392	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	2	2	21	AG30BG70	2392	1989	MISCELLANEOUS LITTER	 	 	6.38	 	 	 	 
E	55	2	2	21	AG30BG70	2392	1989	ANDROPOGON GERARDI(AG)	 	 	48.400002	0.642933	 	 	 
E	55	2	2	21	AG30BG70	2392	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	2	2	21	AG30BG70	2392	1989	AGROPYRON SMITHII (AS)	 	 	0	0	 	 	 
E	55	2	2	21	AG30BG70	2392	1989	PANICUM VIRGATUM (PV)	 	 	0	0	 	 	 
E	55	2	2	21	AG30BG70	2392	1989	BUCHLOE DACTYLOIDES (BD)	 	 	0	0	 	 	 
E	55	2	2	21	AG30BG70	2392	1989	BOUTELOUA GRACILIS (BG)	 	 	26.879999	0.357067	 	 	 
E	55	2	2	21	AG30BG70	2392	1989	QUERCUS ELLIPSOIDALIS (QE)	 	 	0	0	 	 	 
E	55	2	3	10	PV30AS70	1883.5001	1989	MOSSES & LICHENS	 	 	0	 	 	 	 
E	55	2	3	10	PV30AS70	1883.5001	1989	MISCELLANEOUS LITTER	 	 	10.599999	 	 	 	 
E	55	2	3	10	PV30AS70	1883.5001	1989	ANDROPOGON GERARDI(AG)	 	 	0	0	 	 	 
E	55	2	3	10	PV30AS70	1883.5001	1989	SCHIZACHYRIUM SCOPARIUM(SS)	 	 	0	0	 	 	 
E	55	2	3	10	PV30AS70	1883.5001	1989	AGROPYRON SMITHII (AS)	 	 	88.599998	0.824953	 	 	 
