"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
 	89	 	20--40	26727	0.03013518	0.3512138	11.65461
 	90	 	0--20	26728	0.02875396	0.3121803	10.85695
 	90	 	20--40	26729	0.03720576	0.4042276	10.86465
 	91	 	0--20	26730	0.04694945	0.5435177	11.57666
 	91	 	20--40	26731	0.03239774	0.3661061	11.30036
 	92	 	0--20	26732	0.03357662	0.3696613	11.00949
 	92	 	20--40	26733	0.02939245	0.3210678	10.92348
 	93	 	0--20	26734	0.04255886	0.4706068	11.05779
 	93	 	20--40	26735	0.02912918	0.332369	11.41017
 	94	 	0--20	26736	0.04337092	0.4802093	11.07215
 	94	 	20--40	26737	0.03316113	0.3618249	10.91111
 	95	 	0--20	26738	0.04286144	0.4648516	10.84545
 	95	 	20--40	26739	0.03756733	0.403482	10.74024
 	96	 	0--20	26740	0.04204215	0.4800213	11.41762
 	96	 	20--40	26741	0.02857354	0.3197939	11.19196
 	97	 	0--20	26742	0.04447455	0.4860824	10.92945
 	97	 	20--40	26743	0.03216252	0.3588817	11.15838
 	98	 	0--20	26744	0.03203738	0.3611946	11.27416
 	98	 	20--40	26745	0.0332453	0.3953787	11.89277
 	99	 	0--20	26746	0.03960402	0.446151	11.2653
 	99	 	20--40	26747	0.03155812	0.4052803	12.84235
 	100	 	0--20	26748	0.04800291	0.5832563	12.15044
 	100	 	20--40	26749	0.02886702	0.3450868	11.95436
 	101	 	0--20	26750	0.03774637	0.4500626	11.92333
 	101	 	20--40	26751	0.03231321	0.3929589	12.16094
 	102	 	0--20	26752	0.03705084	0.4356964	11.75942
 	102	 	20--40	26753	0.03116089	0.3620941	11.62015
 	103	 	0--20	26754	0.036863	0.4175829	11.32797
 	103	 	20--40	26755	0.02827675	0.3320271	11.74205
 	104	 	0--20	26756	0.03652065	0.4459573	12.2111
 	104	 	20--40	26757	0.03184873	0.4170168	13.09367
 	105	 	0--20	26758	0.03278218	0.404	12.32377
 	105	 	20--40	26759	0.0352808	0.444211	12.59073
 	106	 	0--20	26760	0.03695648	0.4438853	12.01103
 	106	 	20--40	26761	0.02324801	0.2946979	12.67626
 	107	 	0--20	26762	0.03788007	0.4559489	12.03664
 	107	 	20--40	26763	0.02680807	0.3269964	12.19769
 	108	 	0--20	26764	0.03928886	0.4777105	12.15893
 	108	 	20--40	26765	0.02940168	0.3843634	13.07284
 	109	 	0--20	26766	0.03779197	0.4386537	11.60706
 	109	 	20--40	26767	0.03171092	0.3886809	12.257
 	110	 	0--20	26768	0.03904733	0.458647	11.74592
 	110	 	20--40	26769	0.02991914	0.3684886	12.31615
 	111	 	0--20	26770	0.04367838	0.515277	11.79707
 	111	 	20--40	26771	0.02804959	0.3354344	11.95862
 	112	 	0--20	26772	0.03860485	0.4438772	11.49796
 	112	 	20--40	26773	0.03418653	0.4178371	12.22227
 	113	 	0--20	26774	0.03962648	0.4683235	11.81845
 	113	 	20--40	26775	0.02715542	0.331617	12.21182
 	114	 	0--20	26776	0.04314037	0.5300857	12.28746
 	114	 	20--40	26777	0.02633782	0.3199498	12.14792
 	115	 	0--20	26778	0.05107218	0.6167066	12.0752
 	115	 	20--40	26779	0.03453569	0.4310677	12.4818
 	116	 	0--20	26780	0.04237855	0.5159305	12.17433
 	116	 	20--40	26781	0.04076544	0.5078701	12.45835
 	117	 	0--20	26782	0.04276428	0.5140752	12.02114
 	117	 	20--40	26783	0.02623876	0.3086962	11.76489
 	118	 	0--20	26784	0.04224456	0.5192547	12.29163
 	118	 	20--40	26785	0.03045304	0.369655	12.13853
 	119	 	0--20	26786	0.03398718	0.4193943	12.33978
 	119	 	20--40	26787	0.02932669	0.3544796	12.08727
 	120	 	0--20	26788	0.0394641	0.5036026	12.76103
 	120	 	20--40	26789	0.02979245	0.3692852	12.39526
 	121	 	0--20	26790	0.03996828	0.5107563	12.77904
 	121	 	20--40	26791	0.02814699	0.369784	13.1376
 	122	 	0--20	26792	0.04230156	0.5278771	12.4789
 	122	 	20--40	26793	0.0329341	0.4016833	12.19658
 	123	 	0--20	26794	0.03604782	0.435091	12.06983
 	123	 	20--40	26795	0.02656824	0.3237552	12.1858
 	124	 	0--20	26796	0.03906504	0.4730591	12.10953
 	124	 	20--40	26797	0.03053769	0.3571038	11.69387
 	125	 	0--20	26798	0.03483767	0.4001135	11.48508
 	125	 	20--40	26799	0.0228258	0.2881419	12.62352
 	126	 	0--20	26800	0.03695397	0.4518947	12.22858
 	126	 	20--40	26801	0.02479338	0.3116621	12.57038
 	127	 	0--20	26802	0.03066956	0.3740931	12.19754
 	127	 	20--40	26803	0.02625342	0.3304263	12.58603
 	128	 	0--20	26804	0.0428343	0.4928158	11.50517
 	128	 	20--40	26805	0.03542813	0.404745	11.4244
 	129	 	0--20	26806	0.04525659	0.505013	11.15888
 	129	 	20--40	26807	0.0334803	0.3673894	10.9733
 	130	 	0--20	26808	0.04541673	0.5073837	11.17174
 	130	 	20--40	26809	0.03230199	0.373828	11.57291
 	131	 	0--20	26810	0.04003629	0.4841251	12.09216
 	131	 	20--40	26811	0.02991682	0.3608397	12.06143
 	132	 	0--20	26812	0.03342554	0.4071086	12.17957
 	132	 	20--40	26813	0.03555462	0.4226616	11.88767
 	133	 	0--20	26814	0.03998251	0.5076362	12.69646
 	133	 	20--40	26815	0.02662571	0.3294791	12.37447
 	134	 	0--20	26816	0.03004756	0.3717208	12.37108
 	134	 	20--40	26817	0.0230042	0.2733934	11.8845
 	135	 	0--20	26818	0.03847213	0.454128	11.80408
 	135	 	20--40	26819	0.03631601	0.4332396	11.92971
 	136	 	0--20	26820	0.04417149	0.5385521	12.1923
 	136	 	20--40	26821	0.03439099	0.3729143	10.84337
 	137	 	0--20	26822	0.04968866	0.5828835	11.73071
 	137	 	20--40	26823	0.02891238	0.3283592	11.35704
 	138	 	0--20	26824	0.04034075	0.4807246	11.9166
 	138	 	20--40	26825	0.03787262	0.4473793	11.81274
 	139	 	0--20	26826	0.04621599	0.5387965	11.65823
 	139	 	20--40	26827	0.03639654	0.4085981	11.22629
 	140	 	0--20	26828	0.04549756	0.5265352	11.57282
 	140	 	20--40	26829	0.0333031	0.3671631	11.02489
 	141	 	0--20	26830	0.05026536	0.5648742	11.23784
 	141	 	20--40	26831	0.03834659	0.4395747	11.4632
 	142	 	0--20	26832	0.04226641	0.4994849	11.81754
 	142	 	20--40	26833	0.03821652	0.4438014	11.61282
 	143	 	0--20	26834	0.03918598	0.5015396	12.79896
 	143	 	20--40	26835	0.03087893	0.3857457	12.4922
 	144	 	0--20	26836	0.03495115	0.4307476	12.32428
 	144	 	20--40	26837	0.03637818	0.4493236	12.35146
 	145	 	0--20	26838	0.03832774	0.4796784	12.51518
 	145	 	20--40	26839	0.0278751	0.3438934	12.33694
 	146	 	0--20	26840	0.02997141	0.3794207	12.65942
 	146	 	20--40	26841	0.02867376	0.3398984	11.85399
 	147	 	0--20	26842	0.03118585	0.3849372	12.34333
 	147	 	20--40	26843	0.03280653	0.3914438	11.93189
