"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Species Name"	"Depth of soil core (cm)"	"Archive sample number"	"Percent total nitrogen"	"Percent total carbon"	"Total carbon to total nitrogen ratio"
123	20	970721	ROOTS	0--30	20928	1.09555	28.8062	26.2939
123	21	970721	ROOTS	0--30	20929	1.07551	37.5865	34.9476
123	22	970721	ROOTS	0--30	20930	0.64713	26.8057	41.4227
123	23	970721	ROOTS	0--30	20931	1.18041	33.9756	28.7829
123	24	970721	ROOTS	0--30	20932	1.03571	30.8258	29.763
123	25	970721	ROOTS	0--30	20933	0.99767	25.577	25.6368
123	26	970721	ROOTS	0--30	20934	0.95223	32.2009	33.8164
123	27	970721	ROOTS	0--30	20935	1.07718	37.0615	34.406
123	28	970721	ROOTS	0--30	20936	0.97341	40.2479	41.3472
123	29	970721	ROOTS	0--30	20937	0.67916	25.9034	38.1401
123	30	970721	ROOTS	0--30	20938	1.02246	31.0272	30.3455
123	31	970721	ROOTS	0--30	20939	0.85355	25.1974	29.5206
123	32	970721	ROOTS	0--30	20940	0.63265	17.942	28.3601
123	33	970721	ROOTS	0--30	20941	0.3614	19.0622	52.746
123	34	970721	ROOTS	0--30	20942	0.90284	39.7591	44.0376
123	35	970721	ROOTS	0--30	20943	0.46788	10.5502	22.5491
123	36	970721	ROOTS	0--30	20944	0.87727	26.9079	30.6725
123	37	970721	ROOTS	0--30	20945	0.49079	27.7429	56.5273
123	38	970721	ROOTS	0--30	20946	0.83081	27.2817	32.8373
123	39	970721	ROOTS	0--30	20947	0.38737	41.3181	6.6624
123	40	970721	ROOTS	0--30	20948	0.89707	32.7772	36.5381
123	41	970721	ROOTS	0--30	20949	1.10008	34.9813	31.799
123	42	970721	ROOTS	0--30	20950	0.82651	34.7378	42.0298
123	43	970721	ROOTS	0--30	20951	0.65303	41.1698	63.0444
123	44	970721	ROOTS	0--30	20952	0.59763	27.7733	46.4726
123	45	970721	ROOTS	0--30	20953	0.72492	26.2433	36.2016
123	46	970721	ROOTS	0--30	20954	0.683	24.4288	35.7668
123	47	970721	ROOTS	0--30	20955	1.17722	46.1031	39.1626
123	48	970721	ROOTS	0--30	20956	0.96871	41.3324	42.6676
123	49	970721	ROOTS	0--30	20957	0.59933	20.7649	34.6471
123	50	970721	ROOTS	0--30	20958	0.81789	33.9338	41.4896
123	51	970721	ROOTS	0--30	20959	1.05975	38.6291	36.4509
123	52	970722	ROOTS	0--30	20960	0.86142	26.9957	31.3386
123	53	970722	ROOTS	0--30	20961	0.77182	41.388	53.6241
123	54	970722	ROOTS	0--30	20962	0.75623	18.9178	25.0159
123	55	970722	ROOTS	0--30	20963	0.72688	35.3724	48.6637
123	56	970722	ROOTS	0--30	20964	1.35106	35.4037	26.2043
123	57	970722	ROOTS	0--30	20965	1.06772	42.3257	39.6412
123	58	970722	ROOTS	0--30	20966	0.78194	19.8968	25.4456
