"Experiment number"	"Plot number"	"Sampling date (YYMMDD)"	"Root biomass (g/m2)"	"Depth"	"Strip"	"Grazed"
 	103	 	352.95	 	 	 
 	104	 	589.07	 	 	 
 	105	 	690.26	 	 	 
 	106	 	188.4	 	 	 
 	107	 	1461.15	 	 	 
 	108	 	917.33	 	 	 
 	109	 	343.07	 	 	 
 	110	 	825.19	 	 	 
 	111	 	983.15	 	 	 
 	112	 	462.37	 	 	 
 	113	 	909.1	 	 	 
 	114	 	351.3	 	 	 
 	115	 	548.75	 	 	 
 	116	 	510.91	 	 	 
 	117	 	937.9	 	 	 
 	118	 	367.76	 	 	 
 	119	 	761.84	 	 	 
 	120	 	561.92	 	 	 
 	121	 	758.55	 	 	 
 	122	 	482.11	 	 	 
 	123	 	780.76	 	 	 
 	124	 	745.38	 	 	 
 	125	 	375.16	 	 	 
 	126	 	310.17	 	 	 
 	127	 	460.72	 	 	 
 	128	 	1018.53	 	 	 
 	129	 	748.67	 	 	 
 	130	 	590.71	 	 	 
 	131	 	1135.35	 	 	 
 	132	 	1400.27	 	 	 
 	133	 	376.81	 	 	 
 	134	 	873.73	 	 	 
 	135	 	505.15	 	 	 
 	136	 	995.49	 	 	 
 	137	 	431.93	 	 	 
 	138	 	528.19	 	 	 
 	139	 	895.12	 	 	 
 	140	 	193.34	 	 	 
 	141	 	1117.25	 	 	 
 	142	 	585.78	 	 	 
 	143	 	1513.8	 	 	 
 	144	 	748.67	 	 	 
 	145	 	1530.26	 	 	 
 	146	 	1173.2	 	 	 
 	147	 	557.8	 	 	 
 	1	40804	268.21	 	1	g
 	1	40804	370.22	 	1	ug
 	2	40804	425.35	 	1	g
 	2	40804	451.67	 	1	ug
 	3	40804	663.11	 	1	g
 	3	40804	319.22	 	1	ug
 	4	40804	134.1	 	1	g
 	4	40804	129.99	 	1	ug
 	5	40804	547.11	 	1	g
 	5	40804	793.92	 	1	ug
 	6	40804	112.71	 	1	g
 	6	40804	116	 	1	ug
 	7	40804	415.47	 	1	g
 	7	40804	418.76	 	1	ug
 	8	40804	144.8	 	1	g
 	8	40804	279.72	 	1	ug
 	9	40804	124.23	 	1	g
 	9	40804	241.88	 	1	ug
 	10	40804	161.25	 	1	g
 	10	40804	396.55	 	1	ug
 	11	40804	64.99	 	1	g
 	11	40804	121.76	 	1	ug
 	12	40804	374.34	 	1	g
 	12	40804	353.77	 	1	ug
 	13	40804	440.98	 	1	g
 	13	40804	795.57	 	1	ug
 	14	40804	171.95	 	1	g
 	14	40804	228.72	 	1	ug
 	15	40804	316.75	 	1	g
 	15	40804	798.04	 	1	ug
 	16	40804	156.32	 	1	g
 	16	40804	240.23	 	1	ug
 	17	40804	491.99	 	1	g
 	17	40804	316.75	 	1	ug
 	18	40804	95.44	 	1	g
 	18	40804	348.01	 	1	ug
 	19	40804	524.07	 	1	g
 	19	40804	714.12	 	1	ug
 	20	40804	83.92	 	1	g
 	20	40804	99.55	 	1	ug
 	21	40804	50.19	 	1	g
 	21	40804	38.67	 	1	ug
 	22	40804	25.5	 	1	g
 	22	40804	104.49	 	1	ug
 	23	40804	126.7	 	1	g
 	23	40804	205.68	 	1	ug
 	24	40804	241.88	 	1	g
 	24	40804	481.29	 	1	ug
 	25	40804	201.57	 	1	g
 	25	40804	22.21	 	1	ug
 	26	40804	426.17	 	1	g
 	26	40804	714.12	 	1	ug
 	27	40804	85.56	 	1	g
 	27	40804	77.34	 	1	ug
 	28	40804	463.19	 	1	g
 	28	40804	259.16	 	1	ug
 	29	40804	645.83	 	1	g
 	29	40804	618.68	 	1	ug
 	30	40804	131.64	 	1	g
 	30	40804	78.98	 	1	ug
 	31	40804	500.21	 	1	g
 	31	40804	373.51	 	1	ug
 	32	40804	1191.3	 	1	g
 	32	40804	466.48	 	1	ug
 	33	40804	320.04	 	1	g
 	33	40804	421.23	 	1	ug
 	34	40804	599.76	 	1	g
 	34	40804	250.93	 	1	ug
 	35	40804	400.66	 	1	g
 	35	40804	674.63	 	1	ug
 	36	40804	41.14	 	1	g
 	36	40804	90.5	 	1	ug
 	37	40804	161.25	 	1	g
 	37	40804	221.31	 	1	ug
 	38	40804	44.43	 	1	g
 	38	40804	242.7	 	1	ug
 	39	40804	605.52	 	1	g
 	39	40804	445.91	 	1	ug
 	40	40804	133.28	 	1	g
 	40	40804	286.31	 	1	ug
 	41	40804	300.29	 	1	g
 	41	40804	235.3	 	1	ug
 	42	40804	190.05	 	1	g
 	42	40804	224.6	 	1	ug
 	43	40804	550.4	 	1	g
 	43	40804	120.12	 	1	ug
 	44	40804	241.06	 	1	g
 	44	40804	1189.65	 	1	ug
 	45	40804	375.98	 	1	g
 	45	40804	529.83	 	1	ug
 	46	40804	737.98	 	1	g
 	46	40804	227.07	 	1	ug
 	47	40804	692.73	 	1	g
 	47	40804	835.06	 	1	ug
 	48	40804	176.06	 	1	g
 	48	40804	265.74	 	1	ug
 	49	40804	550.4	 	1	g
 	49	40804	219.67	 	1	ug
 	50	40804	364.46	 	1	g
 	50	40804	47.72	 	1	ug
 	51	40804	84.74	 	1	g
 	51	40804	114.36	 	1	ug
 	52	40804	605.52	 	1	g
 	52	40804	306.87	 	1	ug
 	53	40804	338.96	 	1	g
 	53	40804	125.88	 	1	ug
 	54	40804	41.96	 	1	g
 	54	40804	100.37	 	1	ug
 	55	40804	139.86	 	1	g
 	55	40804	352.95	 	1	ug
 	56	40804	108.6	 	1	g
 	56	40804	241.88	 	1	ug
 	57	40804	287.95	 	1	g
 	57	40804	291.24	 	1	ug
 	58	40804	148.09	 	1	g
 	58	40804	280.55	 	1	ug
 	59	40804	85.56	 	1	g
 	59	40804	145.62	 	1	ug
 	60	40804	598.94	 	1	g
 	60	40804	241.88	 	1	ug
 	61	40804	603.88	 	1	g
 	61	40804	587.42	 	1	ug
 	62	40804	567.68	 	1	g
 	62	40804	264.92	 	1	ug
 	63	40804	225.43	 	1	g
 	63	40804	228.72	 	1	ug
 	64	40804	282.19	 	1	g
 	64	40804	429.46	 	1	ug
 	65	40804	153.03	 	1	g
 	65	40804	162.08	 	1	ug
 	66	40804	131.64	 	1	g
 	66	40804	336.49	 	1	ug
 	67	40804	236.94	 	1	g
 	67	40804	552.87	 	1	ug
 	68	40804	360.35	 	1	g
 	68	40804	550.4	 	1	ug
 	69	40804	166.19	 	1	g
 	69	40804	332.38	 	1	ug
 	70	40804	362.82	 	1	g
 	70	40804	276.43	 	1	ug
 	71	40804	266.56	 	1	g
 	71	40804	49.36	 	1	ug
 	72	40804	370.22	 	1	g
 	72	40804	391.61	 	1	ug
 	73	40804	187.58	 	1	g
 	73	40804	97.08	 	1	ug
 	74	40804	393.26	 	1	g
 	74	40804	537.24	 	1	ug
 	75	40804	603.88	 	1	g
 	75	40804	1500.64	 	1	ug
 	76	40804	343.9	 	1	g
 	76	40804	308.52	 	1	ug
 	77	40804	201.57	 	1	g
 	77	40804	390.79	 	1	ug
 	78	40804	301.12	 	1	g
 	78	40804	241.06	 	1	ug
 	79	40804	123.41	 	1	g
 	79	40804	66.64	 	1	ug
 	80	40804	925.56	 	1	g
 	80	40804	468.95	 	1	ug
 	81	40804	104.49	 	1	g
 	81	40804	162.9	 	1	ug
 	82	40804	270.67	 	1	g
 	82	40804	259.98	 	1	ug
 	83	40804	338.96	 	1	g
 	83	40804	583.31	 	1	ug
 	84	40804	1136.18	 	1	g
 	84	40804	256.69	 	1	ug
 	85	40804	873.73	 	1	g
 	85	40804	539.7	 	1	ug
 	86	40804	301.12	 	1	g
 	86	40804	276.43	 	1	ug
 	87	40804	389.97	 	1	g
 	87	40804	255.87	 	1	ug
 	88	40804	668.87	 	1	g
 	88	40804	378.45	 	1	ug
 	89	40804	865.5	 	1	g
 	89	40804	496.92	 	1	ug
 	90	40804	66.64	 	1	g
 	90	40804	52.65	 	1	ug
 	91	40804	252.57	 	1	g
 	91	40804	391.61	 	1	ug
 	92	40804	188.4	 	1	g
 	92	40804	49.36	 	1	ug
 	93	40804	617.04	 	1	g
 	93	40804	161.25	 	1	ug
 	94	40804	407.25	 	1	g
 	94	40804	744.56	 	1	ug
 	95	40804	430.28	 	1	g
 	95	40804	417.12	 	1	ug
 	96	40804	442.62	 	1	g
 	96	40804	380.1	 	1	ug
 	97	40804	184.29	 	1	g
 	97	40804	91.32	 	1	ug
 	98	40804	360.35	 	1	g
 	98	40804	264.92	 	1	ug
 	99	40804	128.34	 	1	g
 	99	40804	256.69	 	1	ug
 	100	40804	248.46	 	1	g
 	100	40804	357.06	 	1	ug
 	101	40804	544.64	 	1	g
 	101	40804	392.44	 	1	ug
 	102	40804	278.08	 	1	g
 	102	40804	356.24	 	1	ug
 	103	40804	383.39	 	1	g
 	103	40804	384.21	 	1	ug
 	104	40804	343.07	 	1	g
 	104	40804	717.41	 	1	ug
 	105	40804	287.95	 	1	g
 	105	40804	291.24	 	1	ug
 	106	40804	95.44	 	1	g
 	106	40804	417.12	 	1	ug
 	107	40804	1257.94	 	1	g
 	107	40804	384.21	 	1	ug
 	108	40804	329.91	 	1	g
 	108	40804	645.83	 	1	ug
 	109	40804	167.01	 	1	g
 	109	40804	246.82	 	1	ug
 	110	40804	663.93	 	1	g
 	110	40804	293.71	 	1	ug
 	111	40804	444.27	 	1	g
 	111	40804	454.96	 	1	ug
 	112	40804	199.92	 	1	g
 	112	40804	662.29	 	1	ug
 	113	40804	146.44	 	1	g
 	113	40804	69.93	 	1	ug
 	114	40804	157.96	 	1	g
 	114	40804	255.87	 	1	ug
 	115	40804	568.5	 	1	g
 	115	40804	464.01	 	1	ug
 	116	40804	310.17	 	1	g
 	116	40804	544.64	 	1	ug
 	117	40804	604.7	 	1	g
 	117	40804	601.41	 	1	ug
 	118	40804	354.59	 	1	g
 	118	40804	501.04	 	1	ug
 	119	40804	246.82	 	1	g
 	119	40804	591.54	 	1	ug
 	120	40804	181.82	 	1	g
 	120	40804	173.59	 	1	ug
 	121	40804	233.65	 	1	g
 	121	40804	571.79	 	1	ug
 	122	40804	126.7	 	1	g
 	122	40804	88.03	 	1	ug
 	123	40804	147.27	 	1	g
 	123	40804	211.44	 	1	ug
 	124	40804	324.15	 	1	g
 	124	40804	761.84	 	1	ug
 	125	40804	535.59	 	1	g
 	125	40804	180.18	 	1	ug
 	126	40804	279.72	 	1	g
 	126	40804	352.95	 	1	ug
 	127	40804	287.95	 	1	g
 	127	40804	137.39	 	1	ug
 	128	40804	560.27	 	1	g
 	128	40804	607.17	 	1	ug
 	129	40804	198.28	 	1	g
 	129	40804	691.08	 	1	ug
 	130	40804	43.6	 	1	g
 	130	40804	52.65	 	1	ug
 	131	40804	595.65	 	1	g
 	131	40804	474.71	 	1	ug
 	132	40804	579.19	 	1	g
 	132	40804	941.19	 	1	ug
 	133	40804	458.25	 	1	g
 	133	40804	677.92	 	1	ug
 	134	40804	 	 	1	g
 	134	40804	278.9	 	1	ug
 	135	40804	248.46	 	1	g
 	135	40804	813.67	 	1	ug
 	136	40804	982.33	 	1	g
 	136	40804	451.67	 	1	ug
 	137	40804	567.68	 	1	g
 	137	40804	364.46	 	1	ug
 	138	40804	498.57	 	1	g
 	138	40804	765.95	 	1	ug
 	139	40804	500.21	 	1	g
 	139	40804	575.9	 	1	ug
 	140	40804	376.81	 	1	g
 	140	40804	166.19	 	1	ug
 	141	40804	329.09	 	1	g
 	141	40804	550.4	 	1	ug
 	142	40804	454.14	 	1	g
 	142	40804	980.68	 	1	ug
 	143	40804	246.82	 	1	g
 	143	40804	397.37	 	1	ug
 	144	40804	399.02	 	1	g
 	144	40804	377.63	 	1	ug
 	145	40804	310.17	 	1	g
 	145	40804	408.07	 	1	ug
 	146	40804	764.31	 	1	g
 	146	40804	472.24	 	1	ug
 	147	40804	422.88	 	1	g
 	147	40804	116	 	1	ug
